name,pokedex_number,type1,type2,evolution_stage,fully_evolved,color,habitat,generation
Bulbasaur,1,grass,poison,1,False,green,grassland,1
Ivysaur,2,grass,poison,2,False,green,grassland,1
Venusaur,3,grass,poison,3,True,green,grassland,1
Charmander,4,fire,,1,False,red,mountain,1
Charmeleon,5,fire,,2,False,red,mountain,1
Charizard,6,fire,flying,3,True,red,mountain,1
Squirtle,7,water,,1,False,blue,waters-edge,1
Wartortle,8,water,,2,False,blue,waters-edge,1
Blastoise,9,water,,3,True,blue,waters-edge,1
Caterpie,10,bug,,1,False,green,forest,1
Metapod,11,bug,,2,False,green,forest,1
Butterfree,12,bug,flying,3,True,white,forest,1
Weedle,13,bug,poison,1,False,brown,forest,1
Kakuna,14,bug,poison,2,False,yellow,forest,1
Beedrill,15,bug,poison,3,True,yellow,forest,1
Pidgey,16,normal,flying,1,False,brown,forest,1
Pidgeotto,17,normal,flying,2,False,brown,forest,1
Pidgeot,18,normal,flying,3,True,brown,forest,1
Rattata,19,normal,,1,False,purple,grassland,1
Raticate,20,normal,,2,True,brown,grassland,1
Spearow,21,normal,flying,1,False,brown,rough-terrain,1
Fearow,22,normal,flying,2,True,brown,rough-terrain,1
Ekans,23,poison,,1,False,purple,grassland,1
Arbok,24,poison,,2,True,purple,grassland,1
Pikachu,25,electric,,1,False,yellow,forest,1
Raichu,26,electric,,2,True,yellow,forest,1
Sandshrew,27,ground,,1,False,yellow,rough-terrain,1
Sandslash,28,ground,,2,True,yellow,rough-terrain,1
Nidoran♀,29,poison,,0,False,blue,grassland,1
Nidorina,30,poison,,2,False,blue,grassland,1
Nidoqueen,31,poison,ground,3,True,blue,grassland,1
Nidoran♂,32,poison,,0,False,purple,grassland,1
Nidorino,33,poison,,2,False,purple,grassland,1
Nidoking,34,poison,ground,3,True,purple,grassland,1
Clefairy,35,normal,,1,False,pink,mountain,1
Clefable,36,normal,,2,True,pink,mountain,1
Vulpix,37,fire,,1,False,brown,grassland,1
Ninetales,38,fire,,2,True,yellow,grassland,1
Jigglypuff,39,normal,,1,False,pink,grassland,1
Wigglytuff,40,normal,,2,True,pink,grassland,1
Zubat,41,poison,flying,1,False,purple,cave,1
Golbat,42,poison,flying,2,True,purple,cave,1
Oddish,43,grass,poison,1,False,blue,grassland,1
Gloom,44,grass,poison,2,False,blue,grassland,1
Vileplume,45,grass,poison,3,True,red,grassland,1
Paras,46,bug,grass,1,False,red,forest,1
Parasect,47,bug,grass,2,True,red,forest,1
Venonat,48,bug,poison,1,False,purple,forest,1
Venomoth,49,bug,poison,2,True,purple,forest,1
Diglett,50,ground,,1,False,brown,cave,1
